features,aggregate
A2ML1|144568,0.0020757224354870226
C1orf76|148753,0.003217013059490366
C1orf87|127795,0.0015746902550173685
C1orf9|51430,0.0008228572766715474
C20orf103|24141,0.0017623423262664879
C20orf108|116151,0.004082473093188228
C20orf116|65992,0.003909597609673263
C20orf30|29058,0.0013367132785411552
C20orf39|79953,0.0032305115093505853
C20orf4|25980,0.002747604627773735
C20orf66|343629,0.0033577827859054424
C21orf123|378832,0.0028764437217077476
C21orf30|54083,0.0019925300404534853
C21orf33|8209,0.0036339505475671157
C21orf44|54070,0.004652365039503051
C21orf55|54943,0.00118926076285941
C21orf71|282566,0.005444903699574848
C22orf24|25775,0.003965571962473683
C22orf32|91689,0.0027599460552051158
C2orf34|79823,0.003783389250636198
C2orf3|6936,0.0018281987543686943
C2orf51|200523,0.004506604193237944
C2orf52|151477,0.0029342849606331014
C3orf10|55845,0.0069716873615019125
C3orf28|26355,0.0021544076117148052
C3orf39|84892,0.0034059377290447464
C3orf64|285203,0.0038055647346155615
C4orf39|152756,0.001754400515700695
C6orf153|88745,0.0011090898656381971
C6orf154|221424,0.00090502903780917
C6orf162|57150,0.002681666442775635
C6orf174|387104,0.00467164446374565
C6orf206|221421,0.005352361007293918
C6orf81|221481,0.0031011600944752535
C7orf11|136647,0.0022107043011708977
C7orf20|51608,0.002385544333692212
C7orf28B|221960,0.002681827506841904
C7orf40|285958,0.005234590561223659
C7orf52|375607,0.004817460340029974
C8orf34|116328,0.0012870262584876602
C8orf38|137682,0.0020092330110012906
C8orf42|157695,0.006462786650608163
C8orf46|254778,0.003783182002362067
C8orf4|56892,0.010873857342871742
C8orf53|84294,0.005623066588017738
C8orf60|619426,0.004572128592030335
C8orf70|51101,0.0030849826495303826
C9orf109|286333,0.005548790047000787
C9orf114|51490,0.0031090958058385943
C9orf126|286205,0.004913532282335745
C9orf127|51754,0.006634523765563672
C9orf24|84688,0.0038736190581894732
C9orf41|138199,0.0016128037831287549
C9orf75|286262,0.0015266835826016258
C9orf78|51759,0.0019862101159755807
C9orf90|203245,0.005288293159673937
CA3|761,0.003035697885653486
CA4|762,0.004416352687424461
CA7|766,0.0023859501385388323
CA8|767,0.005487019174480692
CABLES2|81928,0.0031467410051455678
CACHD1|57685,0.0017211990660059295
CACNG1|786,0.0014345188024841072
CACNG6|59285,0.003882289070375757
CADM1|23705,0.0006933599489487968
CALB2|794,0.0032189238152810313
CALCB|797,0.007962055944599127
CALM2|805,0.0009768316899812987
CALML4|91860,0.004542594148059514
CAMK2G|818,0.0023648983870692016
CAMK2N1|55450,0.0022102509456661257
CAMKK2|10645,0.001305386216342449
CAND2|23066,0.0021724695003932535
CANT1|124583,0.0026574368721015455
CARHSP1|23589,0.0010083887130078824
CARS|833,0.0020638553991844505
CARTPT|9607,0.0016754394811293782
CASQ2|845,0.0054413051830657835
CAST|831,0.008146298165916265
CASZ1|54897,0.0032227035590083565
CBLL1|79872,0.004663330549040737
CBLN2|147381,0.0024322720596730374
CBX1|10951,0.004641792160543
CBX4|8535,0.006466032437634012
CC2D1B|200014,0.002859805343770194
CCDC101|112869,0.004899528543447771
CCDC103|388389,0.0014998230215513093
CCDC107|203260,0.005298889224503415
CCDC11|220136,0.0011972785051731485
CCDC23|374969,0.0018288484393484319
CCDC38|120935,0.001836093237108871
CCDC40|55036,0.004082988477387
CCDC44|51204,0.0010995433684206444
CCDC46|201134,0.007147329450657434
CCDC48|79825,0.004657032805362433
CCDC58|131076,0.001583782297464207
CCDC81|60494,0.0024734313287137696
CCDC89|220388,0.003983767854767159
CCHCR1|54535,0.0032293548245470624
CCIN|881,0.0053704518436793625
CCK|885,0.0010583189517481386
CCL27|10850,0.0054864380300632285
CCL3L3|414062,0.0031070225413414587
CCNB1IP1|57820,0.000985201410716281
CCND2|894,0.0016527582308998201
CCND3|896,0.0038452546172670888
CCNDBP1|23582,0.0010806053047640013
CCNF|899,0.0020397460711520598
CCNI|10983,0.004381120844744785
CCNYL1|151195,0.001329861088509224
CCNY|219771,0.0010832900938721416
CCRL2|9034,0.0018504996990240602
CD163L1|283316,0.0012984225596241882
CD207|50489,0.0025658679730717468
CD209|30835,0.002060791472216984
CD247|919,0.0013340591731435284
CD24|934,0.003970363900462115
CD48|962,0.003993684218064669
CD4|920,0.001913276922608137
CD68|968,0.0046164659913760205
CD8A|925,0.004197885746243625
CD96|10225,0.0034688963092286544
CD99L2|83692,0.0012470887597695493
CD99|4267,0.002816646750203383
CDC23|8697,0.004237027476281368
CDC6|990,0.007307767945592561
CDC73|79577,0.0014454563349295087
CDCA7L|55536,0.002022861898249718
CDCP1|64866,0.006954992595002379
CDH23|64072,0.004605742893747549
CDH26|60437,0.0035317448683130585
CDH7|1005,0.002212662423043861
CDK3|1018,0.003557148890475894
CDK5R1|8851,0.001726034260484433
CDK9|1025,0.0011563431653705699
CDKAL1|54901,0.0017407302306570315
CDKN2A|1029,0.00493081349201457
CDKN3|1033,0.0011218518768527418
CDR1|1038,0.009740984607197377
CDS2|8760,0.0012665806693543428
CDV3|55573,0.006301744614291574
CEACAM3|1084,0.0013265154117502388
CELSR1|9620,0.007105293749909484
CENPJ|55835,0.002955833877021099
CENPL|91687,0.00515698431878509
CENPP|401541,0.004675280121015524
CENTD3|64411,0.0012188774051387886
CENTG2|116987,0.00183395173387609
CEP72|55722,0.0024565619496535224
CEPT1|10390,0.0011661672019433003
CERKL|375298,0.0019879299249940014
CETP|1071,0.005305551514739519
CFH|3075,0.0015742927961220792
CFP|5199,0.00126879449893772
CHD3|1107,0.0017049019795062354
CHDH|55349,0.00205011237933635
CHEK2|11200,0.0022444910744078856
CHI3L1|1116,0.005040086402249787
CHMP4B|128866,0.0012452509016677971
CHPT1|56994,0.0012432229034945372
CHRDL2|25884,0.007391601353980516
CHRM5|1133,0.003773744905537719
CHRNA3|1136,0.001799227689961421
CHRNB3|1142,0.0028911841816362414
CHST2|9435,0.0009909251844435402
CHSY1|22856,0.003315664741168224
CIDEC|63924,0.00537453801384053
CIP29|84324,0.002828058243707769
CLCN2|1181,0.0013315371871497996
CLCN4|1183,0.004485598515990325
CLCN6|1185,0.00249182521308313
CLDN23|137075,0.0029177457087815844
CLEC3B|7123,0.0008520475397561672
CLEC5A|23601,0.011532498409165575
CLN3|1201,0.0028783209384156865
CLRN3|119467,0.006322344599909899
CLSPN|63967,0.0014632696076177134
CLUL1|27098,0.0028226313886642877
CLU|1191,0.006475362552504008
CMPK|51727,0.002739488925481175
