features,features,shapley_values
0,DTWD2|285605,0.0005233420368397785
213,MSH3|4437,0.0004155452156342417
214,UCK2|7371,0.0005647931142246348
215,CTSK|1513,0.00041530164126249447
216,LOC129293|129293,0.0006438540326853544
217,C7orf28A|51622,0.0005981227965505826
218,C5orf33|133686,0.0006631070811015121
219,C18orf24|220134,0.00047636758146557117
220,ADD1|118,0.0005330413022672756
221,BAT2D1|23215,0.00041293252079149887
222,CALML4|91860,0.0004913054961436469
223,PNPLA7|375775,0.0005004599218820008
224,TRPV1|7442,0.0005470997250160956
225,C14orf37|145407,0.0006690751807089191
226,LOC152667|152667,0.0005058636600326211
227,VKORC1L1|154807,0.0007119425016086079
228,ZNF774|342132,0.0003953659667952469
229,TXNDC13|56255,0.0004947186444789497
230,FLJ25476|149076,0.0004579626089186664
231,CDS2|8760,0.0005791561008092333
232,RAI2|10742,0.0005230965146953535
233,ALKBH3|221120,0.0007953379997327865
234,SLC15A2|6565,0.0004006268787118677
235,LOC402175|402175,0.0006947141106378822
236,GABBR1|2550,0.0005204778198764498
237,ADRA2A|150,0.0004849848123873855
238,ITGA10|8515,0.00045841858025026617
239,USP51|158880,0.0004287509168003153
240,MARCH4|57574,0.000470600014451475
241,TMEM158|25907,0.0006620195563914881
242,AZGP1|563,0.0007064169720952564
243,CUBN|8029,0.00036816307328019026
244,CDK3|1018,0.0005905691591748332
245,DACH1|1602,0.00047657220752265745
246,ARFGEF1|10565,0.0005562435047564273
247,TXNDC15|79770,0.0005500477601040731
248,ACOT7|11332,0.0004666844103764523
249,RASL11A|387496,0.0005086484252474438
250,SYT11|23208,0.0006637068782203966
251,SLC16A2|6567,0.0005636557485612181
252,TMCC2|9911,0.0006458009923727857
253,LOC401577|401577,0.000339204311428959
254,FZR1|51343,0.0006767155978989298
255,C14orf93|60686,0.0005454283111886129
256,C4orf30|54876,0.0007326360437480997
257,CDH20|28316,0.0004903058339303862
258,ADAL|161823,0.000549491049254025
259,ASCC1|51008,0.0006419968588960346
260,SNTB2|6645,0.0005430380293787286
261,PCDH1|5097,0.0005150035285790722
262,LOC440248|440248,0.0005470477024508394
263,LOC158402|158402,0.0006934921958441721
264,C8orf45|157777,0.0006321615680878569
265,BHMT2|23743,0.0006633309953754813
266,NR0B2|8431,0.0004727442097761639
267,PSMB4|5692,0.0005315688326566491
268,SNIP|80725,0.0008482957975148788
269,HBXIP|10542,0.0004997612433914466
270,NOC4L|79050,0.0004528236311451758
271,YRDC|79693,0.000481776619307719
272,ANKRD29|147463,0.0005915171239161037
273,ZBTB46|140685,0.0006369892422923272
274,WDSUB1|151525,0.0004997844690625197
275,KCNE1L|23630,0.0004003660929715613
276,GLRX5|51218,0.0004403910925654635
277,SCG5|6447,0.0005415920186806144
278,RBM13|84549,0.0005507683164163006
279,SURF6|6838,0.0005226977322595264
280,IL27RA|9466,0.0005462964835538568
