ADT,Smote500_3000,smote500_5k,Smote500_7.5k,smote500_10k,smote1000_3k,smote1000_5k,Smote1000_7.5k,smote1000_10k,smotefull_3k,smotefull_5k,smotefull_10k,smotefull_15k,xgboost,ctpnet
CD27,0.749045793338913,0.782311542929537,0.790787114317365,0.78856782269864,0.53842714754379,0.649742124539559,0.674169715433113,0.652859968112594,0.450537003452984,0.452035430348413,0.463447560883242,0.495633350058672,0.907588,0.87058
CD278-ICOS,0.620270703238063,0.644081863372651,0.651474029725212,0.651838035459151,0.428645671730083,0.542600696935968,0.578610523561062,0.565678606257223,0.388397866690016,0.400850487031746,0.416247018886907,0.445631070979827,0.783338,0.74189
CD28,0.702898955204387,0.738037426961001,0.749544236686757,0.75342908883495,0.505175370914245,0.634515698584691,0.663979900774165,0.659885339458948,0.433672658164611,0.449270828723456,0.486806310942954,0.530543689182083,0.891643,0.823697
CD3,0.703393033285283,0.763771564303288,0.783840136404614,0.791620442259237,0.464354095405133,0.60718250073678,0.663850727629627,0.663617532109612,0.483596163756127,0.485171937759178,0.515788669634214,0.55264233397256,0.929877,0.913211
CD34_y,0.5683501605245,0.588216077803382,0.603795349053709,0.631443517288688,0.583996225782678,0.619761546627157,0.659595962248246,0.688220674581791,0.655760590309435,0.61255346075231,0.556718396767853,0.547517872853616,0.880082,0.744846
CD38_y,0.550401663904963,0.575507341423924,0.579168173208562,0.583552320305197,0.412328610911416,0.475630524179631,0.509102679201442,0.504261670475315,0.45910365309913,0.410956632449153,0.375721527402647,0.387020248801777,0.850366,0.751166
CD4,0.587155441010349,0.590750859017502,0.576863855709135,0.587653190739969,0.430030467568562,0.512830730521114,0.491466574800546,0.380032061293717,0.538015571967839,0.525843403441176,0.500979743326167,0.483933225954666,0.843246,0.83896
CD45RA,0.604136179379034,0.621582897754297,0.617901333773453,0.625014195665322,0.596337028461181,0.691147308881609,0.678572693875283,0.645584251594079,0.538372667589353,0.584589063472165,0.5976220938462,0.592171082824623,0.835327,0.790232
CD45RO,0.418644215439863,0.425686517871214,0.407049214649946,0.396947952010479,0.182899251523074,0.217972392239118,0.238815304893497,0.232066132449065,0.353454904800351,0.369947753281017,0.333311807809739,0.303181710098985,0.689081,0.653262
CD56,0.690288301372032,0.695796824958493,0.700795716387853,0.693357474523078,0.714710441307763,0.719339511803203,0.669924028995552,0.636015334282359,0.68237931143318,0.690776079846511,0.704901809913904,0.717839432600912,0.786771,0.593113
CD57,0.428095824699569,0.464055599637329,0.475087890198322,0.465963904660129,0.462118533087768,0.460119149351065,0.466462350141088,0.434519092272244,0.476279347942216,0.501270821069122,0.514024499426069,0.496866039175594,0.648802,0.46886
CD69,0.580866750848476,0.56864791618823,0.552183750079425,0.540657572903484,0.255575719318009,0.2900177808398,0.503068981924158,0.536467528212532,0.212665580666231,0.244630574716935,0.30328712887454,0.330778029343265,0.734367,0.623014
CD79b,0.695428016867679,0.725506042280072,0.727115576365298,0.707809402411469,0.532819251160724,0.716366819804991,0.716392727271468,0.66240967823731,0.677565260902909,0.711431415792495,0.740873590242019,0.73863971993374,0.789345,0.522225
CD8a,0.558100632267024,0.514539204382338,0.464751116013934,0.446119310315254,0.31820396186217,0.359242989634975,0.379658923203284,0.371904807009077,0.393623211170813,0.382472285093355,0.366309783012624,0.370601817117581,0.848857,0
HLA.DR,0.655402907821557,0.73477256963738,0.773664362973724,0.791702119406615,0.47529337062058,0.595456882445785,0.645638913702137,0.642484841153933,0.546987873250471,0.527994518761053,0.522580072871845,0.551076830066617,0.920593,0.870118
