2020-12-08 19:02:56.991965 

No Pre-selection of Features
This run includes 3 GCNs - mRNA, DNA methylation, miRNA 


Training...
Epoch 0, Train loss: C1:2.15e-01, C2:1.38e-01, C3:6.62e-02, C:3.85e-01
Epoch 120, Train loss: C1:1.29e+01, C2:2.30e+03, C3:5.04e-03, C:2.48e-01
Epoch 121, Train loss: C1:1.51e+01, C2:1.07e+03, C3:5.00e-03, C:2.82e-01
Epoch 122, Train loss: C1:2.03e+01, C2:4.44e+03, C3:5.37e-03, C:2.68e-01
Epoch 123, Train loss: C1:2.82e+01, C2:2.57e+03, C3:4.82e-03, C:2.58e-01
Epoch 124, Train loss: C1:4.14e+01, C2:5.86e+02, C3:5.16e-03, C:2.44e-01
Epoch 125, Train loss: C1:4.67e+01, C2:2.93e+03, C3:5.10e-03, C:2.52e-01
Epoch 126, Train loss: C1:4.43e+01, C2:2.28e+03, C3:5.02e-03, C:2.50e-01
Epoch 127, Train loss: C1:3.87e+01, C2:4.11e+02, C3:4.82e-03, C:2.46e-01
Epoch 128, Train loss: C1:3.42e+01, C2:2.22e+03, C3:5.04e-03, C:2.54e-01
Epoch 129, Train loss: C1:2.49e+01, C2:1.86e+03, C3:4.75e-03, C:2.62e-01
Epoch 130, Train loss: C1:2.02e+01, C2:4.29e+02, C3:4.94e-03, C:2.40e-01
Epoch 131, Train loss: C1:1.80e+01, C2:1.74e+03, C3:4.86e-03, C:2.67e-01
Epoch 132, Train loss: C1:1.45e+01, C2:1.26e+03, C3:4.77e-03, C:2.62e-01
Epoch 133, Train loss: C1:1.28e+01, C2:3.47e+02, C3:4.70e-03, C:2.38e-01
Epoch 134, Train loss: C1:1.51e+01, C2:1.36e+03, C3:4.75e-03, C:2.49e-01
Epoch 135, Train loss: C1:1.73e+01, C2:8.56e+02, C3:4.82e-03, C:2.61e-01
Epoch 136, Train loss: C1:2.87e+01, C2:4.03e+02, C3:4.84e-03, C:2.42e-01
Epoch 137, Train loss: C1:4.69e+01, C2:1.04e+03, C3:4.52e-03, C:2.56e-01
Epoch 138, Train loss: C1:7.39e+01, C2:5.96e+02, C3:4.72e-03, C:2.54e-01
Epoch 139, Train loss: C1:1.16e+02, C2:3.75e+02, C3:4.51e-03, C:2.37e-01
Epoch 140, Train loss: C1:1.81e+02, C2:8.88e+02, C3:4.55e-03, C:2.49e-01
Epoch 141, Train loss: C1:2.78e+02, C2:5.11e+02, C3:4.81e-03, C:2.49e-01
Epoch 142, Train loss: C1:3.91e+02, C2:3.65e+02, C3:4.50e-03, C:2.39e-01
Epoch 143, Train loss: C1:5.10e+02, C2:5.60e+02, C3:4.52e-03, C:2.37e-01
Epoch 144, Train loss: C1:5.67e+02, C2:5.05e+02, C3:4.50e-03, C:2.65e-01
Epoch 145, Train loss: C1:4.86e+02, C2:3.30e+02, C3:4.48e-03, C:2.29e-01
Epoch 146, Train loss: C1:2.65e+02, C2:4.43e+02, C3:4.53e-03, C:2.44e-01
Epoch 147, Train loss: C1:5.82e+01, C2:4.42e+02, C3:4.26e-03, C:2.40e-01
Epoch 148, Train loss: C1:1.82e+01, C2:3.81e+02, C3:4.40e-03, C:2.25e-01
Epoch 149, Train loss: C1:1.14e+02, C2:3.55e+02, C3:4.38e-03, C:2.44e-01
Epoch 150, Train loss: C1:1.94e+02, C2:3.58e+02, C3:4.39e-03, C:2.29e-01

Test: Epoch 150
Train Accuracy: 0.4772   Test ACC: 0.4837
Train F1: 0.3083         Test F1: 0.3154

Epoch 151, Train loss: C1:1.64e+02, C2:3.67e+02, C3:4.25e-03, C:2.41e-01
Epoch 152, Train loss: C1:6.79e+01, C2:3.43e+02, C3:4.33e-03, C:2.40e-01
Epoch 153, Train loss: C1:1.08e+01, C2:2.79e+02, C3:4.17e-03, C:2.35e-01
Epoch 154, Train loss: C1:3.50e+01, C2:3.05e+02, C3:4.26e-03, C:2.48e-01
Epoch 155, Train loss: C1:9.39e+01, C2:3.17e+02, C3:4.35e-03, C:2.21e-01
Epoch 156, Train loss: C1:1.16e+02, C2:2.78e+02, C3:4.22e-03, C:2.39e-01
Epoch 157, Train loss: C1:8.55e+01, C2:2.31e+02, C3:4.13e-03, C:2.35e-01
Epoch 158, Train loss: C1:3.96e+01, C2:2.53e+02, C3:4.04e-03, C:2.42e-01
Epoch 159, Train loss: C1:1.44e+01, C2:2.62e+02, C3:4.18e-03, C:2.26e-01
Epoch 160, Train loss: C1:1.98e+01, C2:2.45e+02, C3:4.24e-03, C:2.28e-01
Epoch 161, Train loss: C1:4.25e+01, C2:2.99e+02, C3:4.41e-03, C:2.32e-01
Epoch 162, Train loss: C1:4.45e+01, C2:4.03e+02, C3:4.09e-03, C:2.32e-01
Epoch 163, Train loss: C1:2.42e+01, C2:3.13e+02, C3:4.31e-03, C:2.36e-01
Epoch 164, Train loss: C1:1.09e+01, C2:3.03e+02, C3:4.29e-03, C:2.34e-01
Epoch 165, Train loss: C1:2.23e+01, C2:4.99e+02, C3:4.23e-03, C:2.30e-01
Epoch 166, Train loss: C1:4.65e+01, C2:4.13e+02, C3:4.05e-03, C:2.40e-01
Epoch 167, Train loss: C1:5.49e+01, C2:3.37e+02, C3:4.01e-03, C:2.19e-01
Epoch 168, Train loss: C1:4.04e+01, C2:3.32e+02, C3:4.03e-03, C:2.21e-01
Epoch 169, Train loss: C1:2.18e+01, C2:2.73e+02, C3:4.11e-03, C:2.59e-01
Epoch 170, Train loss: C1:1.34e+01, C2:3.06e+02, C3:4.10e-03, C:2.21e-01
Epoch 171, Train loss: C1:2.35e+01, C2:3.30e+02, C3:4.04e-03, C:2.27e-01
Epoch 172, Train loss: C1:4.47e+01, C2:3.12e+02, C3:4.12e-03, C:2.31e-01
Epoch 173, Train loss: C1:4.42e+01, C2:2.42e+02, C3:3.98e-03, C:2.17e-01
Epoch 174, Train loss: C1:2.57e+01, C2:2.36e+02, C3:3.94e-03, C:2.56e-01
Epoch 175, Train loss: C1:1.23e+01, C2:2.86e+02, C3:3.93e-03, C:2.17e-01
Epoch 176, Train loss: C1:1.90e+01, C2:2.93e+02, C3:4.09e-03, C:2.20e-01
Epoch 177, Train loss: C1:3.48e+01, C2:2.42e+02, C3:4.12e-03, C:2.20e-01
