features,features,shapley_values
0,USP27X|389856,0.0004824185469052565
405,RNF4|6047,0.00044191399029812583
406,KCNK5|8645,0.0005778238661524679
407,BCL7B|9275,0.00042368672970696634
408,INSIG2|51141,0.00034399629517591426
409,DPM2|8818,0.00041469273571151323
410,LOC338651|338651,0.00028405536217222826
411,NT5C3|51251,0.00035552546564845413
412,PROX2|283571,0.0003240073382986305
413,KHDC1|80759,0.000364728593690488
414,LOC728064|728064,0.000317408021446909
415,METTL3|56339,0.0003534910164120482
416,C18orf50|619463,0.0003865906300672218
417,LOC728511|728511,0.00030762310948290677
418,SSH2|85464,0.0003512256422705263
419,ZFAT1|57623,0.0004117282567336663
420,LOC645030|645030,0.00035075657315619007
421,USP12|219333,0.0004595937919632387
422,C19orf56|51398,0.0004288124158732947
423,MGC50559|254013,0.00035218074376568284
424,RPS28|6234,0.0004044221005398142
425,PITPNM2|57605,0.00041370846192946803
426,FNTA|2339,0.0004646800174337414
427,CRIP3|401262,0.00025903582930504056
428,ZNHIT2|741,0.00041448005456535376
429,SEC61B|10952,0.00020846465141407606
430,C20orf175|140876,0.00032726279173416405
431,NAB2|4665,0.00048215320525948907
432,KHDRBS3|10656,0.000404053271579406
433,RHOBTB2|23221,0.0003559770566082905
434,CHST10|9486,0.00031917116811872677
435,MAK10|60560,0.000414422427845231
436,NR2C1|7181,0.0005098193565552033
437,TGIF2LY|90655,0.00044599288588876044
438,PABPN1|8106,0.0004309089846918179
439,NKAIN4|128414,0.0006495401761403236
440,GPT|2875,0.00045344396103402156
441,MAK|4117,0.0003394584576115196
442,KIAA1143|57456,0.0003967725029891419
443,SNX19|399979,0.00044220441047716286
444,ACTN1|87,0.0002947090761190184
445,C20orf117|140710,0.00041469930034626254
446,ABCG1|9619,0.0003889173209733273
447,CDK5R1|8851,0.0003820218611994057
448,LOC646982|646982,0.00042804102695073346
449,CITED1|4435,0.00039598308380692075
450,IKBKB|3551,0.0005946013854517989
451,TGFB1|7040,0.0003753915145473188
452,KLHL25|64410,0.0004994692078534573
453,RNF19B|127544,0.00032345320427311667
454,RDH16|8608,0.0004950646745566265
455,C1orf109|54955,0.0002782058772723638
456,CSNK1A1L|122011,0.0004059145930694844
457,LOC401463|401463,0.0004029425034046473
458,NGFR|4804,0.0004324787040284622
459,EZH2|2146,0.0003743971295345769
460,LRIG2|9860,0.0003214978103356673
461,SLC25A31|83447,0.0005091728582370858
462,LOC442210|442210,0.00045133565315228934
463,UGT2A1|10941,0.00035319401811878895
464,AIM2|9447,0.00039006305935077935
465,LRRC31|79782,0.00029890045275788197
466,TRA2A|29896,0.0004819179762569675
467,LRRC19|64922,0.00028225066378982243
468,RNF185|91445,0.00039083963374847875
469,ANKRD55|79722,0.0003709452773179281
470,TSPAN19|144448,0.00042551971204104555
471,RP11-145E5.4|100048912,0.0005450330172905226
472,APTX|54840,0.0003338259471101048
473,PMS2L2|5380,0.00036497517269383777
474,ATG9A|79065,0.0005070116602571917
475,NR1I3|9970,0.0005816681463435234
