,methylation
191,0.010346543043851852
192,0.010559110902249813
193,0.009989210404455662
194,0.009960515424609184
195,0.010271556675434113
196,0.010095843113958836
197,0.01024589128792286
198,0.010225333273410797
199,0.009947936050593853
200,0.010012893937528133
201,0.010127742774784565
202,0.010372333228588104
203,0.010398969985544682
204,0.010584980249404907
205,0.010712169110774994
206,0.010243713855743408
207,0.01000017486512661
208,0.009707707911729813
209,0.00988076627254486
210,0.009470737539231777
211,0.009639699012041092
212,0.009914559312164783
213,0.009701197035610676
214,0.009663986042141914
215,0.009305793792009354
216,0.009334457106888294
217,0.009232849813997746
218,0.009425054304301739
219,0.009617717005312443
220,0.009646443650126457
221,0.009983645752072334
222,0.011194631457328796
223,0.012693116441369057
224,0.013680566102266312
225,0.00992824137210846
226,0.010547159239649773
227,0.011180934496223927
228,0.009758242405951023
229,0.011081055738031864
230,0.009249231778085232
231,0.01058012992143631
232,0.009567469358444214
233,0.009764236398041248
234,0.009833668358623981
235,0.009267493151128292
236,0.010157781653106213
237,0.009394305758178234
238,0.009626242332160473
239,0.00943564809858799
240,0.009059449657797813
241,0.009453728795051575
242,0.008728818967938423
243,0.00924771185964346
244,0.008882474154233932
245,0.008748411200940609
246,0.008972453884780407
247,0.008563024923205376
248,0.008857212960720062
249,0.008763125166296959
250,0.008509697392582893
251,0.008581431582570076
252,0.008686198852956295
253,0.00843258947134018
254,0.008542360737919807
255,0.008542698808014393
256,0.00853128731250763
257,0.008734897710382938
258,0.008491897955536842
259,0.008458643220365047
260,0.00819491222500801
261,0.008149303495883942
262,0.008229858241975307
263,0.008247311227023602
264,0.007991917431354523
265,0.008038949221372604
266,0.008169739507138729
267,0.008018537424504757
268,0.007811307441443205
269,0.007996710948646069
270,0.008005275391042233
271,0.007868348620831966
272,0.007965633645653725
273,0.008171072229743004
274,0.00915994681417942
275,0.011227039620280266
276,0.014638414606451988
277,0.01240905374288559
278,0.009234905242919922
279,0.011206978932023048
280,0.009450466372072697
281,0.01084428932517767
282,0.008818766102194786
283,0.010192514397203922
284,0.008513676933944225
285,0.009904729202389717
286,0.009230461902916431
287,0.008918389678001404
288,0.009265277534723282
289,0.008368194103240967
290,0.008756428956985474
