,mRNA
146,0.009065527468919754
147,0.008958212099969387
148,0.008831950835883617
149,0.00880849827080965
150,0.008908819407224655
151,0.00879702903330326
152,0.008822227828204632
153,0.008705639280378819
154,0.008656048215925694
155,0.008676107972860336
156,0.008693299256265163
157,0.008524306118488312
158,0.008584338240325451
159,0.008591288700699806
160,0.008727114647626877
161,0.008987650275230408
162,0.009228953160345554
163,0.009586370550096035
164,0.008936000987887383
165,0.008483447134494781
166,0.008851276710629463
167,0.009017465636134148
168,0.008533351123332977
169,0.008461181074380875
170,0.00884364265948534
171,0.008747556246817112
172,0.00835897121578455
173,0.0085821021348238
174,0.008723952807486057
175,0.008353234268724918
176,0.008410227485001087
177,0.008588830940425396
178,0.008300206623971462
179,0.008369728922843933
180,0.00840766355395317
181,0.008373556658625603
182,0.008136222139000893
183,0.00827577244490385
184,0.008229991421103477
185,0.008090266026556492
186,0.008100336417555809
187,0.00809525977820158
188,0.008040090091526508
189,0.007985933683812618
190,0.007963678799569607
191,0.007972238585352898
192,0.007829351350665092
193,0.007995465770363808
194,0.007927576079964638
195,0.007882803678512573
196,0.007952376268804073
197,0.007840963080525398
198,0.007816431112587452
199,0.007797255180776119
200,0.007794895209372044
201,0.007759150117635727
202,0.00776978675276041
203,0.007727278396487236
204,0.00784362107515335
205,0.007725339848548174
206,0.007620836142450571
207,0.007675361819565296
208,0.0076519218273460865
209,0.007657999638468027
210,0.007605116348713636
211,0.0075195590034127235
212,0.00756022147834301
213,0.007545545697212219
214,0.007568436209112406
215,0.007492787670344114
216,0.007574176415801048
217,0.0074856458231806755
218,0.0075419144704937935
219,0.007510475814342499
220,0.007594726514071226
221,0.007600710727274418
222,0.007817444391548634
223,0.007891661487519741
224,0.008166705258190632
225,0.008188835345208645
226,0.00794222578406334
227,0.007517618127167225
228,0.007502769585698843
229,0.007766502443701029
230,0.007766679394990206
231,0.007462852634489536
232,0.007351876236498356
233,0.0075212805531919
234,0.007691354025155306
235,0.007601468823850155
236,0.007445373106747866
237,0.007365826051682234
238,0.0074660819955170155
239,0.007492601405829191
240,0.007346809841692448
241,0.007346297148615122
242,0.007393223699182272
243,0.007364524994045496
244,0.007263222709298134
245,0.007206168491393328
246,0.007344683166593313
247,0.00734573183581233
248,0.007354269735515118
249,0.007192156743258238
250,0.007251395843923092
251,0.0073181944899261
252,0.007332294248044491
253,0.0071379272267222404
254,0.0071572791785001755
255,0.007352476939558983
256,0.007283282000571489
257,0.0071069481782615185
258,0.007082623895257711
259,0.0071209510788321495
260,0.007251293398439884
261,0.007151388563215733
262,0.007048356346786022
263,0.0070887054316699505
264,0.007108747493475676
265,0.007083603646606207
266,0.007002600468695164
267,0.007145128678530455
268,0.007060356438159943
269,0.0070180646143853664
270,0.006977992597967386
271,0.006953085772693157
272,0.0069082630798220634
273,0.006971648894250393
274,0.006941413041204214
275,0.0069500962272286415
276,0.00699614966288209
277,0.006986543536186218
278,0.007034963928163052
279,0.007048428524285555
280,0.007180203218013048
281,0.007105648051947355
282,0.006971975788474083
283,0.006941499188542366
284,0.006846011616289616
285,0.006879047490656376
286,0.0071023497730493546
287,0.007249344140291214
288,0.007273160852491856
289,0.007158281747251749
290,0.0069679454900324345
291,0.006850548554211855
292,0.006937525700777769
293,0.007183654699474573
294,0.007167778443545103
295,0.0069930823519825935
296,0.006963930558413267
297,0.007004358805716038
298,0.006883465684950352
299,0.006937762722373009
300,0.0069940052926540375
301,0.006997391581535339
302,0.006881444714963436
303,0.0067510479129850864
304,0.006845745723694563
305,0.006813219748437405
306,0.006890562362968922
307,0.0067487480118870735
308,0.006756491959095001
309,0.0067480383440852165
310,0.006763404700905085
311,0.006718797609210014
312,0.0067740450613200665
313,0.0067338417284190655
314,0.006760559044778347
315,0.006733492948114872
316,0.006848268676549196
317,0.006873376201838255
318,0.006702745333313942
319,0.006610297132283449
320,0.0067148394882678986
321,0.0067314221523702145
322,0.006668854039162397
323,0.006664224900305271
324,0.006694771349430084
325,0.0065774437971413136
326,0.006610087584704161
327,0.006685525644570589
328,0.0066550010815262794
329,0.006705474574118853
330,0.006769079715013504
331,0.007092442363500595
332,0.007468109950423241
333,0.007496385369449854
334,0.007349270395934582
335,0.006858570501208305
336,0.006683035288006067
337,0.006764534395188093
338,0.007167247124016285
339,0.007056185510009527
340,0.006625478155910969
341,0.006538118235766888
342,0.00675978371873498
343,0.0068287053145468235
344,0.006542116869240999
345,0.006603999063372612
346,0.006749667227268219
347,0.006728231906890869
348,0.006582625210285187
349,0.006683023646473885
350,0.006659300997853279
351,0.006805201526731253
352,0.0066066221334040165
353,0.006565870251506567
