,mRNA
445,0.009245337918400764
446,0.009229767136275768
447,0.009240245446562767
448,0.009206588380038738
449,0.009039673022925854
450,0.00907184462994337
451,0.009001107886433601
452,0.009134496562182903
453,0.009213102050125599
454,0.00892294105142355
455,0.00920079555362463
456,0.008978107012808323
457,0.009193433448672295
458,0.009103148244321346
459,0.008959159255027771
460,0.008895882405340672
461,0.009024183265864849
462,0.009097802452743053
463,0.008979777805507183
464,0.008969783782958984
465,0.009096277877688408
466,0.008968491107225418
467,0.00900762714445591
468,0.008954000659286976
469,0.009012186899781227
470,0.009017269127070904
471,0.008825174532830715
472,0.008947983384132385
473,0.009011932648718357
474,0.008739179000258446
475,0.008892140351235867
476,0.008756235241889954
477,0.009069235064089298
478,0.008747940883040428
479,0.008825615979731083
480,0.00875630509108305
481,0.008835061453282833
482,0.008809398859739304
483,0.008847448974847794
484,0.008645889349281788
485,0.008826218545436859
486,0.008958835154771805
487,0.008701699785888195
488,0.00875751581043005
489,0.008719982579350471
490,0.008550471626222134
491,0.00872373953461647
492,0.009068351238965988
493,0.008905493654310703
494,0.008783003315329552
495,0.008660567924380302
496,0.008571302518248558
497,0.008588986471295357
498,0.00876561924815178
499,0.008719367906451225
500,0.008524772711098194
501,0.0086800092831254
502,0.008851229213178158
503,0.00865423958748579
504,0.008619669824838638
505,0.008588441647589207
506,0.008624978363513947
507,0.00839515496045351
508,0.008544644340872765
509,0.008685833774507046
510,0.008538358844816685
511,0.008627080358564854
512,0.008425205945968628
513,0.008637797087430954
514,0.008674624375998974
515,0.008534419350326061
516,0.008506129495799541
517,0.008592185564339161
518,0.008636724203824997
519,0.008727330714464188
520,0.008462672121822834
521,0.008415400981903076
522,0.008474254980683327
523,0.00849822722375393
524,0.008496680296957493
525,0.00845916848629713
526,0.00855599157512188
527,0.008403814397752285
528,0.008392914198338985
529,0.008282679133117199
530,0.008397785015404224
531,0.008396648801863194
532,0.008440215140581131
533,0.008323702029883862
534,0.008442055433988571
535,0.008426893502473831
536,0.00825577788054943
537,0.008365942165255547
538,0.008383970707654953
539,0.00816360767930746
540,0.00838235393166542
541,0.008182676509022713
542,0.008279062807559967
543,0.008332000114023685
544,0.00831668358296156
545,0.008358084596693516
546,0.008220907300710678
547,0.008152332156896591
548,0.008299626410007477
549,0.008350052870810032
550,0.008125750347971916
551,0.00829355325549841
552,0.007974687032401562
553,0.00809114333242178
554,0.008317505940794945
555,0.008234239183366299
556,0.008000797592103481
557,0.008252931758761406
558,0.008289545774459839
559,0.00798286497592926
560,0.008258748799562454
561,0.008198720403015614
562,0.00837093684822321
563,0.008076488971710205
564,0.008022765628993511
565,0.00807387288659811
566,0.008338150568306446
567,0.008120056241750717
568,0.00807642750442028
569,0.008312320336699486
570,0.008334114216268063
571,0.00814040657132864
572,0.008085034787654877
573,0.007968599908053875
574,0.008130731992423534
575,0.008237273432314396
576,0.008114363066852093
577,0.007873284630477428
578,0.007969966158270836
579,0.00797563698142767
580,0.007962401024997234
581,0.007941299118101597
582,0.008083894848823547
583,0.007905184291303158
584,0.008003337308764458
585,0.007987325079739094
586,0.008042210713028908
587,0.007809275295585394
588,0.007993767037987709
589,0.00785060040652752
590,0.007820437662303448
591,0.007813888601958752
592,0.007992405444383621
593,0.007907424122095108
594,0.007894815877079964
595,0.007828612811863422
596,0.008007700555026531
597,0.007987262681126595
598,0.008020326495170593
599,0.007960865274071693
600,0.007912404835224152
601,0.00804947316646576
602,0.007858430966734886
603,0.007905102334916592
604,0.00785373616963625
605,0.007858656346797943
606,0.007730643264949322
607,0.00790600199252367
608,0.007779184263199568
609,0.007860344834625721
610,0.0077874911949038506
611,0.007764819543808699
612,0.007728229276835918
613,0.0076450384221971035
614,0.007663194090127945
615,0.007672643288969994
616,0.0077514611184597015
617,0.007772373501211405
618,0.007718052249401808
619,0.007810892071574926
620,0.007790681906044483
621,0.007829511538147926
622,0.007669299840927124
623,0.007780394516885281
624,0.007759323343634605
625,0.007733756676316261
626,0.007745402865111828
627,0.007678748574107885
628,0.007740834727883339
629,0.0077343410812318325
630,0.007614128291606903
631,0.0076399086974561214
632,0.007630471605807543
633,0.007748811040073633
634,0.007595797535032034
635,0.007659078110009432
636,0.0077810753136873245
637,0.007660539820790291
638,0.007541561033576727
639,0.007808990776538849
640,0.0076487562619149685
641,0.007649374194443226
642,0.007614911999553442
643,0.007689008954912424
644,0.0076666660606861115
645,0.007760847453027964
646,0.007523148786276579
647,0.0075912391766905785
648,0.007586498279124498
649,0.007374906912446022
650,0.0076818447560071945
651,0.007601734716445208
652,0.007671562489122152
653,0.0075196772813797
654,0.007597787771373987
655,0.007631294429302216
656,0.007461167871952057
657,0.007473587989807129
658,0.007428361102938652
659,0.007502798456698656
660,0.007555864751338959
661,0.007410806138068438
662,0.007474496029317379
663,0.0075096688233315945
664,0.007380262017250061
665,0.007623853627592325
666,0.00736533896997571
667,0.0076801166869699955
