features,features,shapley_values
0,DBF4|10926,0.00012192393446538215
207,SEPT2|4735,0.00012766669552967467
208,DNAJC7|7266,0.00013647861218671283
209,ACY1|95,0.00010336631672220719
210,GPR4|2828,0.00016360346640744032
211,DPAGT1|1798,8.383070114537581e-05
212,ALG8|79053,0.0001205527971321152
213,EML1|2009,0.00011655721015945439
214,POFUT1|23509,0.0001279555099692119
215,NFASC|23114,0.0001724654471968837
216,USP51|158880,0.00014242268844409325
217,TNFAIP8L1|126282,0.00012196627445959825
218,TRMT5|57570,0.00012974358166015405
219,ECH1|1891,0.00011005345869536445
220,SGPP1|81537,0.00015193783965024014
221,CEP250|11190,0.000117727263074604
222,DIO2|1734,0.0001888925894902049
223,RABGGTB|5876,0.00010187865461504769
224,KIAA0226|9711,0.00010452070414353524
225,ZNF354A|6940,0.00011214044533605203
226,BRF2|55290,0.00012235643696966402
227,LOC100130776|100130776,0.00020887543653438692
228,NOL6|65083,0.00013671220578742086
229,BRPF1|7862,0.00011328997990639356
230,COX16|51241,8.898721951895958e-05
231,ZNF616|90317,0.0001306138189172786
232,FLCN|201163,0.00013106094674619363
233,GPN2|54707,0.0001030513109193668
234,C9orf3|84909,0.00015531283521905376
235,MPP1|4354,0.00012161291510032801
236,ZNF268|10795,0.0001768858070086262
237,CD24|100133941,0.0002050031263114655
238,FAM167B|84734,0.00015084298514695538
239,LOC25845|25845,0.00015447152456588383
240,ANKRD13B|124930,0.00016548882979104974
241,PCDHB16|57717,0.000129486353556678
242,SLC24A3|57419,0.00016541911525426732
243,ZNF197|10168,0.00012976889214819863
244,PTHLH|5744,0.00020431892880809583
245,SGSM3|27352,0.00016725094751848986
246,ACSS1|84532,0.00017368799843286547
247,ZNF155|7711,0.00015378504442924948
248,KIAA0368|23392,0.00014022727957139488
249,ACTR5|79913,0.00011437493361570687
250,ARF4|378,8.04196244748312e-05
251,CYB5R4|51167,8.794814915026388e-05
252,TRIM5|85363,0.0001531276615391768
253,MGC57346|401884,8.608969707819945e-05
254,GRIPAP1|56850,0.00013409353247766605
255,ALDH5A1|7915,0.00011492406687264545
256,C6orf48|50854,0.00016961739496183263
257,OXA1L|5018,0.00012054287637532848
258,NCOR2|9612,0.00015113082464220134
259,KBTBD11|9920,0.00014043995576570122
260,ZNF710|374655,0.00011364451297683203
