,lr,weight_decay,dropout,adj_parameter,tr_acc,tr_F1,test_acc,test_F1
83,0.0005,0.003,0.75,8,0.9655502392344497,0.9654697348224212,0.842391304347826,0.8460186792108148
84,0.0005,0.005,0.1,2,0.9205741626794258,0.9188173084615593,0.8097826086956522,0.8169767322636221
85,0.0005,0.005,0.1,5,0.9282296650717703,0.9258267988663431,0.8043478260869565,0.8109989648033127
86,0.0005,0.005,0.1,8,0.9330143540669856,0.9311766793417237,0.7989130434782609,0.8058171687647391
87,0.0005,0.005,0.25,2,0.937799043062201,0.9370042900594342,0.8315217391304348,0.8366579714248271
88,0.0005,0.005,0.25,5,0.9177033492822967,0.915118360708383,0.7989130434782609,0.8057413937074726
89,0.0005,0.005,0.25,8,0.9311004784688995,0.9291875644247163,0.8043478260869565,0.8109989648033127
90,0.0005,0.005,0.5,2,0.908133971291866,0.9043653991549488,0.7934782608695652,0.8009945772147039
91,0.0005,0.005,0.5,5,0.9301435406698565,0.928300279009888,0.8260869565217391,0.8318208211132441
92,0.0005,0.005,0.5,8,0.9196172248803828,0.9166952542999565,0.8097826086956522,0.8166172595520422
93,0.0005,0.005,0.75,2,0.9004784688995215,0.8975830461420691,0.782608695652174,0.790116216100198
94,0.0005,0.005,0.75,5,0.9052631578947369,0.9023318081218326,0.7880434782608695,0.795856917060653
95,0.0005,0.005,0.75,8,0.9062200956937799,0.9048175216238135,0.7717391304347826,0.7801608241291195
96,0.001,0.0005,0.1,2,0.9980861244019139,0.9980861244019139,0.8478260869565217,0.8458647419268313
97,0.001,0.0005,0.1,5,0.999043062200957,0.9990430567240719,0.842391304347826,0.8379836000433479
98,0.001,0.0005,0.1,8,0.9971291866028709,0.9971291701722155,0.8478260869565217,0.8430512767028888
99,0.001,0.0005,0.25,2,0.9980861244019139,0.9980861244019139,0.8369565217391305,0.8344239214906893
100,0.001,0.0005,0.25,5,0.999043062200957,0.9990430567240719,0.8532608695652174,0.8498999047735599
101,0.001,0.0005,0.25,8,0.9971291866028709,0.9971291536625665,0.8532608695652174,0.8502061838973944
102,0.001,0.0005,0.5,2,0.9980861244019139,0.9980861244019139,0.8478260869565217,0.8435660897975786
103,0.001,0.0005,0.5,5,1.0,1.0,0.8478260869565217,0.8444432353331344
104,0.001,0.0005,0.5,8,0.9971291866028709,0.9971290387202014,0.8532608695652174,0.852132986685649
105,0.001,0.0005,0.75,2,0.9942583732057416,0.9942324925721535,0.8641304347826086,0.8588847503035147
