,mRNA
353,0.00790028553456068
354,0.007951490581035614
355,0.007913178764283657
356,0.007470461539924145
357,0.008113500662147999
358,0.007690658792853355
359,0.00801908504217863
360,0.007735134568065405
361,0.007904982194304466
362,0.007996482774615288
363,0.008235241286456585
364,0.008027097210288048
365,0.007573711220175028
366,0.0073876697570085526
367,0.0072867488488554955
368,0.0074166483245790005
369,0.0073136151768267155
370,0.007231757044792175
371,0.007221869193017483
372,0.007033869624137878
373,0.006796166300773621
374,0.007126369513571262
375,0.006920756306499243
376,0.007221466861665249
377,0.007459413725882769
378,0.00856325775384903
379,0.009057414717972279
380,0.009856469929218292
381,0.007755532395094633
382,0.0074080415070056915
383,0.0085222739726305
384,0.007547730579972267
385,0.007511202245950699
386,0.008161802776157856
387,0.0073643340729177
388,0.007112427614629269
389,0.007777191232889891
390,0.007504208013415337
391,0.006774021312594414
392,0.007347857113927603
393,0.007440242450684309
394,0.007249260786920786
395,0.006790549028664827
396,0.006982344202697277
397,0.007151677738875151
398,0.0069844904355704784
399,0.006793383043259382
400,0.006695532239973545
401,0.006692912895232439
402,0.006911078933626413
403,0.006626016926020384
404,0.006531078834086657
405,0.006576003506779671
406,0.006473620887845755
407,0.006644727662205696
408,0.006660969462245703
409,0.006708692759275436
410,0.00684446981176734
411,0.006814197637140751
412,0.006945799570530653
413,0.006840599235147238
414,0.006575452163815498
415,0.006814415566623211
416,0.007045181468129158
417,0.0071081300266087055
418,0.006791365332901478
419,0.006506507284939289
420,0.006495353765785694
421,0.006739226169884205
422,0.0065867421217262745
423,0.0063621667213737965
424,0.006469273008406162
425,0.006367124151438475
426,0.006274344399571419
427,0.006254466716200113
428,0.0063555799424648285
429,0.006576200947165489
430,0.006670909933745861
431,0.006693999748677015
432,0.006748509127646685
433,0.0064711482264101505
434,0.006402336526662111
435,0.006381811108440161
436,0.006488182116299868
437,0.006733364891260862
438,0.006926897447556257
439,0.006536375731229782
440,0.006456386297941208
441,0.006313730031251907
442,0.006111595313996077
443,0.006371206603944302
444,0.006238967180252075
445,0.00641155568882823
446,0.006552053149789572
447,0.006877867504954338
448,0.0071483515202999115
449,0.007561007514595985
450,0.007490762043744326
451,0.007558457553386688
452,0.007589885499328375
453,0.008519771508872509
454,0.007156156934797764
455,0.007258892059326172
456,0.008043409325182438
