,miRNA
260,0.005852679722011089
261,0.005919850897043943
262,0.005794496275484562
263,0.005826890468597412
264,0.005857424344867468
265,0.005901813972741365
266,0.0058404686860740185
267,0.005811602808535099
268,0.00596202164888382
269,0.00579879293218255
270,0.00572485476732254
271,0.005903327837586403
272,0.00584301957860589
273,0.005945718847215176
274,0.005799646954983473
275,0.005815980024635792
276,0.0058394307270646095
277,0.005749906878918409
278,0.00573953241109848
279,0.005860381759703159
280,0.005803982727229595
281,0.005728008691221476
282,0.005603948142379522
283,0.0055273245088756084
284,0.0055979834869503975
285,0.0055331820622086525
286,0.005589245352894068
287,0.005689937621355057
288,0.005698353983461857
289,0.005580986384302378
290,0.00561581552028656
291,0.005678712856024504
292,0.005673679523169994
293,0.005582274403423071
294,0.005562686827033758
295,0.005544427782297134
296,0.005725969094783068
297,0.0055966852232813835
298,0.005510791204869747
299,0.005699959117919207
300,0.005571446847170591
301,0.005616973154246807
302,0.005501418840140104
303,0.005535591393709183
304,0.005648994352668524
305,0.0055399090051651
306,0.0056831492111086845
307,0.00549312774091959
308,0.005518741440027952
309,0.005515968892723322
310,0.005452061537653208
311,0.005619917530566454
312,0.005544507876038551
313,0.005509274546056986
314,0.005568491294980049
315,0.005519733764231205
316,0.005410109646618366
317,0.005381885915994644
318,0.005526445806026459
319,0.005400519818067551
320,0.005556364078074694
321,0.005499787162989378
322,0.005455236881971359
323,0.005344079341739416
324,0.005454434081912041
325,0.005493862554430962
326,0.005468502175062895
327,0.005572519730776548
328,0.005464541260153055
329,0.0053960285149514675
330,0.005483055952936411
331,0.005370601080358028
332,0.00548251299187541
333,0.005436349660158157
334,0.005546145606786013
335,0.005471612326800823
336,0.005402632988989353
337,0.0054170251823961735
338,0.005333472043275833
339,0.00537519296631217
340,0.005393370985984802
341,0.005376662593334913
342,0.005357309710234404
343,0.0053262170404195786
344,0.005496066063642502
345,0.005384264979511499
346,0.005451078526675701
347,0.005275782197713852
348,0.005331127904355526
349,0.005365357734262943
350,0.005382191389799118
351,0.005289590451866388
352,0.005357302725315094
353,0.005257127340883017
354,0.005326095502823591
355,0.005405723582953215
356,0.005277719348669052
357,0.00524567486718297
358,0.0052179377526044846
359,0.005289947148412466
360,0.00527470838278532
361,0.005440481472760439
362,0.005260390229523182
363,0.0052194432355463505
364,0.005356177221983671
365,0.005269204266369343
366,0.005396141204982996
367,0.005307170562446117
368,0.005179372150450945
369,0.005263250786811113
370,0.005333020351827145
371,0.005142034962773323
372,0.005216960795223713
373,0.005181963089853525
374,0.005186038091778755
375,0.005217608995735645
376,0.00537234079092741
377,0.005175981670618057
378,0.005342877935618162
379,0.005081778857856989
380,0.0051406980492174625
381,0.005150345619767904
382,0.005156213883310556
383,0.005321204662322998
384,0.00521936547011137
385,0.005210207775235176
386,0.005276260897517204
387,0.005189662799239159
388,0.005147490184754133
389,0.005326305516064167
390,0.005222239997237921
391,0.0052459524013102055
392,0.005148764234036207
393,0.005163779482245445
394,0.005232124589383602
395,0.0051512932404875755
396,0.005038517527282238
397,0.005219533108174801
398,0.005147932562977076
399,0.005185985006392002
400,0.005128329154103994
401,0.005193146411329508
402,0.0051252348348498344
403,0.0050435494631528854
404,0.005254597403109074
405,0.005147295538336039
406,0.0049544828943908215
407,0.0051835947670042515
