,features,shapley_values
0,DBF4|10926,0.0010012360225325869
365,SPATS2L|26010,0.0007714571039350073
366,ANKRD37|353322,0.0008962203684455024
367,HPS4|89781,0.0008351477516322458
368,NARS|4677,0.0006824528649031518
369,COPS7A|50813,0.000998995288946948
370,GADD45B|4616,0.0008946659254965411
371,ZFP1|162239,0.0008147889940568787
372,FGFRL1|53834,0.0008562360280574886
373,C7orf55|154791,0.0008956177425719414
374,C19orf57|79173,0.0010747298346354159
375,LLPH|84298,0.0007969453689653015
376,HHIPL1|84439,0.0008529164078077409
377,FBXW8|26259,0.0007887300933167901
378,SHISA2|387914,0.0016104685526489146
379,GOLGA7|51125,0.000816244229336128
380,SMARCE1|6605,0.0008142990586743173
381,HSPA6|3310,0.0009278727826675301
382,BCR|613,0.0008232853172812312
383,CCR1|1230,0.0011002681196479187
384,NLGN2|57555,0.0008010415955236794
385,ALS2|57679,0.0008782481501813388
386,MFSD6|54842,0.0008097695305820604
387,C8orf42|157695,0.001028053066409468
388,LAMB1|3912,0.0007895371061854244
389,EFR3B|22979,0.0007310022125985902
390,GCHFR|2644,0.00098912155030033
391,LOC149837|149837,0.0008577234923563753
392,RANBP10|57610,0.0008725659812218418
393,KCTD11|147040,0.0008027989131915629
394,IL18|3606,0.0008823676805154712
395,NMNAT1|64802,0.0009309134022397833
396,BST2|684,0.0008301178232500899
397,RDH11|51109,0.0008976774779874393
398,IRF5|3663,0.0007481779178912388
399,ALDH9A1|223,0.0008553314190135017
400,C1orf216|127703,0.0009118501515239278
401,RPL17|6139,0.0009539410860154069
402,EPHX1|2052,0.0007947719640996363
403,NME6|10201,0.0007363808790755368
404,PRPF40B|25766,0.0007585256971138704
405,TRIM9|114088,0.0009278743887543197
406,PITPNM1|9600,0.0008768264783368597
407,LOC146880|146880,0.0007241329830544667
408,RPS6KC1|26750,0.0008041829997328953
409,APOC1|341,0.001004065212884144
410,RNF216|54476,0.0008415446326379845
411,ADAMTS7|11173,0.0009066784541653231
412,FAM164A|51101,0.0009986830976653057
413,ATXN1|6310,0.0010306873657415128
414,CD2AP|23607,0.000870658422585436
415,ACOT11|26027,0.0008963950859919947
416,MAT2A|4144,0.0008080185185948195
417,CXorf26|51260,0.0007896869617008312
418,ARL2BP|23568,0.0008989386261456179
419,ATP5H|10476,0.0009594966958239833
420,B3GALT4|8705,0.000850017990207727
421,MRPS28|28957,0.000775058376413179
422,TRNAU1AP|54952,0.0006901545617228201
423,DUSP14|11072,0.0008870482773195033
424,TUBGCP5|114791,0.000896103336680571
425,ATP10D|57205,0.0008800020423766141
426,GPX4|2879,0.0007422013687135205
427,ERCC8|1161,0.0007791335532068401
428,CAPN1|823,0.0007138604086948931
429,GSDMB|55876,0.0012239452516738867
430,C4orf32|132720,0.0010613548504718037
431,C14orf45|80127,0.0009284855115301003
432,TMCC2|9911,0.0012745185822467659
433,NDRG2|57447,0.0010207690454971867
434,RAI2|10742,0.001336928766779173
435,FSCN1|6624,0.0011401243880129158
436,NCAPD2|9918,0.0010508932930512367
437,LRIG1|26018,0.0010863683979521538
438,MCM6|4175,0.0011831055185253783
439,LDHB|3945,0.0010114991678917492
440,RHOB|388,0.0008814003691793258
441,RNASE4|6038,0.0009487006031026485
442,SPEF2|79925,0.0008119507197163109
443,CACNA2D2|9254,0.0015843162324055329
444,TINAGL1|64129,0.001555652024412765
445,P4HTM|54681,0.0011207309253077721
446,ATP8B1|5205,0.0009599301203269544
447,ZNF467|168544,0.0011357249235456682
448,TMBIM6|7009,0.0007803258234634306
449,PLOD1|5351,0.000836186474524876
450,CHST2|9435,0.0009370979625008714
451,MYB|4602,0.0014826578731138556
