features,features,shapley_values
0,USP27X|389856,0.000970344842869592
76,CRLF3|51379,0.0006719288018634084
77,TIGD4|201798,0.0009470117253932769
78,MTA2|9219,0.0009846924738144398
79,RNF7|9616,0.0007023762325237496
80,DLSTP|1744,0.0014056943729421976
81,SMAD9|4093,0.0006201130932824149
82,ECSIT|51295,0.0005398740007925317
83,IRAK1BP1|134728,0.000697516551314139
84,ZBTB12|221527,0.0006097373398002385
85,NOB1|28987,0.0008016110558501136
86,CTPS2|56474,0.0008098590456273452
87,NPTX2|4885,0.0007242786813902874
88,ISLR2|57611,0.0015925491625326217
89,SNORA66|26782,0.0009037625023167072
90,SIM2|6493,0.0013558540135167891
91,RAPGEFL1|51195,0.0006055825316552062
92,CENTB5|116983,0.0008611702771300284
93,SPIN2A|54466,0.0008675422145272893
94,TXN2|25828,0.0006676406338657318
95,NRF1|4899,0.0009553967415552268
96,ZSWIM4|65249,0.00050104214631414
97,ZSCAN23|222696,0.0005756905920760102
98,C9orf167|54863,0.0007717874230838164
99,ZNF532|55205,0.0006942916558294897
100,ZFP64|55734,0.0007776435358291287
101,NTRK2|4915,0.0006403533836673828
102,CBX5|23468,0.000599474930343932
103,MYST3|7994,0.0013772480508684665
104,C3orf28|26355,0.0007242450725926798
105,VTI1A|143187,0.0009464441457665571
106,SLC22A7|10864,0.0012192664648094666
107,CBX1|10951,0.0010977712275737363
108,APP|351,0.0015058003210610203
109,THOC4|10189,0.0008156329013771907
110,MRPL17|63875,0.0005334741933687786
111,RGL3|57139,0.0007182348567024221
112,SEPW1|6415,0.0007296387922490242
113,STX16|8675,0.0009863494164237749
114,HPS3|84343,0.0009781293705940345
115,SIVA1|10572,0.0006467598421637855
116,N-PAC|84656,0.00046014002702848817
117,NDUFA10|4705,0.0006216953047277472
118,C9orf127|51754,0.0008938728675923716
119,ERH|2079,0.0006400819590626101
120,TMEM34|55751,0.0005929984928021903
121,INPP5B|3633,0.001909097120821129
122,PGM5|5239,0.001434340473398461
123,GPT|2875,0.0008269309883239216
124,PHB|5245,0.0006188487012026612
