2020-10-28 14:39:57.011852 

This run includes 6 GCNs: mRNA, miRNA, meth, naive_mRNA-mRNA, naive_miRNA-miRNA, naive_meth-meth 


Training...
Epoch 0, Train loss: C1:1.23e-01, C2:2.21e-01, C3:7.16e-02, C4:1.07e-01, C5:6.41e-02, C6:6.52e-02, C:5.53e-01
Epoch 50, Train loss: C1:1.62e-02, C2:1.93e-02, C3:1.64e-02, C4:4.02e+02, C5:5.06e+03, C6:2.01e+01, C:1.25e+00

Test: Epoch 50
Train Accuracy: 0.4363   Test ACC: 0.5285
Train F1: 0.3679         Test F1: 0.3655

Epoch 51, Train loss: C1:1.65e-02, C2:1.94e-02, C3:1.62e-02, C4:2.04e+02, C5:4.78e+03, C6:3.60e+01, C:9.98e-01
Epoch 52, Train loss: C1:1.60e-02, C2:1.94e-02, C3:1.59e-02, C4:2.02e+02, C5:2.30e+03, C6:4.48e+01, C:1.03e+00
Epoch 53, Train loss: C1:1.64e-02, C2:1.90e-02, C3:1.62e-02, C4:4.61e+02, C5:5.71e+02, C6:1.99e+01, C:9.94e-01
Epoch 54, Train loss: C1:1.62e-02, C2:1.90e-02, C3:1.57e-02, C4:3.42e+02, C5:1.18e+03, C6:1.95e+01, C:5.81e-01
Epoch 55, Train loss: C1:1.64e-02, C2:1.90e-02, C3:1.54e-02, C4:1.81e+02, C5:1.89e+03, C6:1.59e+01, C:5.82e-01
Epoch 56, Train loss: C1:1.59e-02, C2:1.88e-02, C3:1.60e-02, C4:8.47e+01, C5:2.07e+03, C6:2.98e+01, C:7.73e-01
Epoch 57, Train loss: C1:1.61e-02, C2:1.87e-02, C3:1.59e-02, C4:2.56e+02, C5:2.18e+03, C6:2.42e+01, C:1.69e+00
Epoch 58, Train loss: C1:1.60e-02, C2:1.87e-02, C3:1.57e-02, C4:2.73e+02, C5:1.31e+03, C6:1.48e+01, C:1.51e+00
Epoch 59, Train loss: C1:1.57e-02, C2:1.84e-02, C3:1.53e-02, C4:1.80e+02, C5:3.17e+02, C6:1.31e+01, C:5.19e-01
Epoch 60, Train loss: C1:1.55e-02, C2:1.84e-02, C3:1.53e-02, C4:7.50e+01, C5:8.06e+02, C6:1.70e+01, C:6.55e-01
Epoch 61, Train loss: C1:1.56e-02, C2:1.84e-02, C3:1.58e-02, C4:1.57e+02, C5:1.43e+03, C6:2.41e+01, C:9.19e-01
Epoch 62, Train loss: C1:1.57e-02, C2:1.80e-02, C3:1.56e-02, C4:1.91e+02, C5:1.31e+03, C6:1.44e+01, C:9.37e-01
Epoch 63, Train loss: C1:1.56e-02, C2:1.84e-02, C3:1.55e-02, C4:1.65e+02, C5:1.02e+03, C6:1.30e+01, C:7.69e-01
Epoch 64, Train loss: C1:1.59e-02, C2:1.80e-02, C3:1.54e-02, C4:7.01e+01, C5:7.54e+02, C6:1.34e+01, C:8.78e-01
Epoch 65, Train loss: C1:1.52e-02, C2:1.82e-02, C3:1.54e-02, C4:1.35e+02, C5:3.43e+02, C6:1.68e+01, C:4.04e-01
Epoch 66, Train loss: C1:1.58e-02, C2:1.83e-02, C3:1.53e-02, C4:1.91e+02, C5:4.39e+02, C6:1.42e+01, C:1.59e+00
Epoch 67, Train loss: C1:1.55e-02, C2:1.81e-02, C3:1.53e-02, C4:1.89e+02, C5:8.48e+02, C6:1.47e+01, C:7.89e-01
Epoch 68, Train loss: C1:1.53e-02, C2:1.78e-02, C3:1.51e-02, C4:1.02e+02, C5:6.67e+02, C6:1.39e+01, C:6.19e-01
Epoch 69, Train loss: C1:1.52e-02, C2:1.77e-02, C3:1.47e-02, C4:9.37e+01, C5:3.96e+02, C6:1.26e+01, C:8.31e-01
Epoch 70, Train loss: C1:1.52e-02, C2:1.78e-02, C3:1.49e-02, C4:1.32e+02, C5:4.12e+02, C6:1.45e+01, C:7.20e-01
Epoch 71, Train loss: C1:1.53e-02, C2:1.77e-02, C3:1.50e-02, C4:2.13e+02, C5:2.96e+02, C6:1.29e+01, C:5.76e-01
Epoch 72, Train loss: C1:1.53e-02, C2:1.76e-02, C3:1.47e-02, C4:3.33e+02, C5:4.53e+02, C6:1.48e+01, C:3.79e-01
Epoch 73, Train loss: C1:1.48e-02, C2:1.75e-02, C3:1.49e-02, C4:4.86e+02, C5:6.67e+02, C6:1.03e+01, C:4.38e-01
Epoch 74, Train loss: C1:1.51e-02, C2:1.74e-02, C3:1.47e-02, C4:5.77e+02, C5:5.26e+02, C6:1.37e+01, C:4.09e-01
Epoch 75, Train loss: C1:1.51e-02, C2:1.76e-02, C3:1.47e-02, C4:5.63e+02, C5:3.86e+02, C6:1.64e+01, C:7.46e-01
Epoch 76, Train loss: C1:1.51e-02, C2:1.74e-02, C3:1.47e-02, C4:5.34e+02, C5:3.87e+02, C6:1.56e+01, C:5.13e-01
Epoch 77, Train loss: C1:1.50e-02, C2:1.74e-02, C3:1.45e-02, C4:4.67e+02, C5:2.58e+02, C6:9.28e+00, C:3.96e-01
Epoch 78, Train loss: C1:1.48e-02, C2:1.76e-02, C3:1.47e-02, C4:2.95e+02, C5:2.09e+02, C6:9.44e+00, C:6.88e-01
Epoch 79, Train loss: C1:1.49e-02, C2:1.75e-02, C3:1.46e-02, C4:1.42e+02, C5:2.61e+02, C6:1.20e+01, C:3.63e-01
Epoch 80, Train loss: C1:1.48e-02, C2:1.76e-02, C3:1.45e-02, C4:8.64e+01, C5:2.16e+02, C6:1.15e+01, C:4.66e-01
Epoch 81, Train loss: C1:1.45e-02, C2:1.73e-02, C3:1.43e-02, C4:8.79e+01, C5:2.96e+02, C6:9.18e+00, C:3.96e-01
Epoch 82, Train loss: C1:1.46e-02, C2:1.73e-02, C3:1.45e-02, C4:1.48e+02, C5:4.29e+02, C6:7.96e+00, C:4.23e-01
Epoch 83, Train loss: C1:1.45e-02, C2:1.71e-02, C3:1.42e-02, C4:2.12e+02, C5:4.64e+02, C6:9.98e+00, C:2.82e-01
Epoch 84, Train loss: C1:1.48e-02, C2:1.72e-02, C3:1.43e-02, C4:1.77e+02, C5:4.78e+02, C6:1.14e+01, C:4.73e-01
Epoch 85, Train loss: C1:1.49e-02, C2:1.73e-02, C3:1.44e-02, C4:9.70e+01, C5:4.50e+02, C6:1.12e+01, C:3.15e-01
Epoch 86, Train loss: C1:1.43e-02, C2:1.73e-02, C3:1.42e-02, C4:7.83e+01, C5:3.65e+02, C6:9.41e+00, C:4.76e-01
Epoch 87, Train loss: C1:1.46e-02, C2:1.72e-02, C3:1.44e-02, C4:7.08e+01, C5:3.39e+02, C6:7.80e+00, C:4.00e-01
