,lr,weight_decay,dropout,adj_parameter,tr_acc,tr_F1,test_acc,test_F1
50,0.0005,0.0005,0.1,8,0.9942583732057416,0.99425828009719,0.8532608695652174,0.8547424638671778
51,0.0005,0.0005,0.25,2,0.9923444976076555,0.992344464824586,0.8641304347826086,0.8653627313247779
52,0.0005,0.0005,0.25,5,0.9923444976076555,0.9923434267062826,0.8532608695652174,0.8545605600835791
53,0.0005,0.0005,0.25,8,0.9980861244019139,0.9980861189250289,0.8478260869565217,0.8486945814549456
54,0.0005,0.0005,0.5,2,0.9933014354066986,0.99329203619798,0.8586956521739131,0.8595213431109187
55,0.0005,0.0005,0.5,5,0.9942583732057416,0.9942560234640376,0.8369565217391305,0.834278399618542
56,0.0005,0.0005,0.5,8,0.9952153110047847,0.9952150089691537,0.8641304347826086,0.8649418195958781
57,0.0005,0.0005,0.75,2,0.9904306220095693,0.9904395440043909,0.8478260869565217,0.8475981074234018
58,0.0005,0.0005,0.75,5,0.9846889952153111,0.9846990914887485,0.8478260869565217,0.8502527322011456
59,0.0005,0.0005,0.75,8,0.9913875598086125,0.9913754879149115,0.8586956521739131,0.8582039889048564
60,0.0005,0.001,0.1,2,0.9799043062200957,0.979922352513417,0.8369565217391305,0.8336752990117904
61,0.0005,0.001,0.1,5,0.9818181818181818,0.9817749052648714,0.8532608695652174,0.8557125851587
62,0.0005,0.001,0.1,8,0.9837320574162679,0.9837364491645376,0.8478260869565217,0.8483199560803201
63,0.0005,0.001,0.25,2,0.9846889952153111,0.9847056353390791,0.8152173913043478,0.8108258867164141
64,0.0005,0.001,0.25,5,0.9894736842105263,0.9894699831383729,0.8369565217391305,0.8340379115836177
65,0.0005,0.001,0.25,8,0.9913875598086125,0.9913806698871299,0.842391304347826,0.8443230485600018
66,0.0005,0.001,0.5,2,0.9818181818181818,0.9817701491625634,0.8695652173913043,0.8702080979184927
67,0.0005,0.001,0.5,5,0.9856459330143541,0.985656881515668,0.8586956521739131,0.859021298724177
68,0.0005,0.001,0.5,8,0.9904306220095693,0.9904214372732212,0.842391304347826,0.8449764613930494
69,0.0005,0.001,0.75,2,0.9626794258373206,0.9628053956355479,0.8478260869565217,0.8479887952003352
70,0.0005,0.001,0.75,5,0.9770334928229665,0.9770213958129959,0.8315217391304348,0.8297496480830625
71,0.0005,0.001,0.75,8,0.9712918660287081,0.9711114871323885,0.8532608695652174,0.8564150553029669
72,0.0005,0.003,0.1,2,0.9167464114832536,0.9146569823534502,0.8315217391304348,0.8361931042880827
73,0.0005,0.003,0.1,5,0.9349282296650717,0.9344743354894472,0.8641304347826086,0.8671704812225272
74,0.0005,0.003,0.1,8,0.9454545454545454,0.9450094742819473,0.8532608695652174,0.8565710508645293
75,0.0005,0.003,0.25,2,0.9320574162679426,0.9312601310835547,0.842391304347826,0.8463272391392398
76,0.0005,0.003,0.25,5,0.9454545454545454,0.945127192457348,0.8586956521739131,0.8618118898077758
77,0.0005,0.003,0.25,8,0.9435406698564593,0.9428579370259332,0.875,0.8777608199324993
78,0.0005,0.003,0.5,2,0.9196172248803828,0.9182268186964011,0.8586956521739131,0.8619892815966372
79,0.0005,0.003,0.5,5,0.9291866028708134,0.9284446716917892,0.8532608695652174,0.8564483095089501
80,0.0005,0.003,0.5,8,0.9473684210526315,0.947137448586291,0.8152173913043478,0.8192279097472736
81,0.0005,0.003,0.75,2,0.9033492822966507,0.9018259456906026,0.875,0.8773277796340943
82,0.0005,0.003,0.75,5,0.9014354066985646,0.900101549179366,0.8315217391304348,0.8370473778431853
83,0.0005,0.003,0.75,8,0.8937799043062201,0.8913290118235074,0.7282608695652174,0.7296883865631882
84,0.0005,0.005,0.1,2,0.8411483253588516,0.835570466173979,0.7282608695652174,0.7388253122869924
85,0.0005,0.005,0.1,5,0.8803827751196173,0.878583547719535,0.7717391304347826,0.7811471424115574
86,0.0005,0.005,0.1,8,0.8698564593301435,0.8658391028739169,0.75,0.7602674243927925
87,0.0005,0.005,0.25,2,0.8794258373205741,0.8757703130474169,0.7554347826086957,0.7655322738080561
88,0.0005,0.005,0.25,5,0.8688995215311005,0.8666328295644496,0.7445652173913043,0.7549694596221063
89,0.0005,0.005,0.25,8,0.8669856459330143,0.8647214564047936,0.8206521739130435,0.8221724173047423
90,0.0005,0.005,0.5,2,0.7952153110047847,0.785427776252193,0.6847826086956522,0.6941551320888486
91,0.0005,0.005,0.5,5,0.8296650717703349,0.828159709835564,0.6956521739130435,0.7039271982779339
92,0.0005,0.005,0.5,8,0.8631578947368421,0.8623964020930404,0.6467391304347826,0.6578240248738266
93,0.0005,0.005,0.75,2,0.7779904306220096,0.773076857761414,0.8260869565217391,0.8281272493881732
94,0.0005,0.005,0.75,5,0.8210526315789474,0.8195006097865586,0.6902173913043478,0.6993744950060435
95,0.0005,0.005,0.75,8,0.8019138755980861,0.7991373463178445,0.6956521739130435,0.7010457212611414
96,0.001,0.0005,0.1,2,0.9942583732057416,0.9942513347730044,0.8695652173913043,0.8709804669388731
