ADT,smote500_3k,smote500_5k,smote1000_3k,smote1000_5k,smote500_7.5k,smote500_10k,Smote1000_7.5k,smote1000_10k,smotefull_3k,smotefull_5k,smotefull_10k,smotefull_15k,XGBOOST,CTPNET
CD38_y,0.666562100249996,0.695828021115061,0.635697321086063,0.66929790074586,0.668114982710585,0.659900439079306,0.659823102675496,0.667871048671354,0.50459333132328,0.536025612067236,0.620521519276901,0.653535547586659,0.814764,0.720549
CD4,0.51381899734056,0.464763508880725,0.520978838221084,0.600045983685476,0.478322716324774,0.515735280436716,0.557867784871803,0.479461662674857,0.584163901230758,0.566501464862073,0.549516174890494,0.56061883132632,0.795803,0.793727
CD45RA,0.630621348384614,0.666426995647013,0.640426746330681,0.711007656097612,0.680710253790055,0.688421179292818,0.689197776167829,0.647453129999713,0.584820622935555,0.624033730757575,0.593120401199467,0.542636288134243,0.813899,0.790663
CD45RO,0.472204334526122,0.481448248147716,0.128547740311659,0.173854491588054,0.481059935919021,0.489529871771452,0.206405245735962,0.21998573273218,0.398411023158739,0.37360806318638,0.322533383257608,0.26410915536238,0.658744,0.63159
CD56,0.261326202692813,0.276271490568286,0.199161594754631,0.220375427572208,0.254612056982869,0.1836573887491,0.120040226699359,0.055348601946787,0.285928153292189,0.277378814703838,0.226403110594138,0.190891084299076,0.299738,0.315043
CD57,0.292685974461066,0.297771268774625,0.185900118614617,0.214710346753696,0.277985544510453,0.243968097652096,0.216947166086654,0.104877659129685,0.299871762512055,0.303511344067148,0.263747845341037,0.186140505643305,0.352707,0.324352
CD69,0.605360480208079,0.623998086280702,0.244471757534513,0.323160575698241,0.630945829898088,0.622670293129788,0.524367421318023,0.56458930646218,0.29041309314873,0.37468681139425,0.422660145273554,0.377503039751417,0.709299,0.624426
CD79b,0.38149721940433,0.350968841689604,0.34342046583801,0.346639550586084,0.300742915933329,0.267293016520813,0.282660317108372,0.242480238686082,0.351784881266686,0.355771973152613,0.3556303021926,0.340815173473083,0.365197,0.403286
CD8a,0.31203990562989,0.296667084788832,0.241564578223018,0.22649288334515,0.274819872629282,0.246494337913884,0.197401753471655,0.17595164814924,0.284240994475427,0.283035080465944,0.262073601074043,0.241191208166581,0.505635,0
HLA.DR,0.807647081702982,0.813048641013179,0.780190854430573,0.800860056326383,0.811205517637737,0.794715250412637,0.71615279564815,0.67106879509883,0.717297411623373,0.757666087352008,0.800925929223981,0.818633994491337,0.890634,0.852548
